,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
1192,85,30,60,100,85,100,70,85,100,85,70,70,70
1193,100,40,15,85,40,100,40,40,100,100,70,40,60
1194,85,15,0,70,0,85,0,40,70,60,60,30,60
1195,15,85,60,15,85,60,70,85,60,60,85,85,30
1196,85,40,50,70,51,70,4,60,80,75,60,49,80
1197,30,60,0,15,70,40,85,70,60,0,60,70,30
1198,0,85,0,50,85,0,100,100,50,50,60,100,30
1199,85,70,60,70,50,85,85,50,60,60,60,70,60
1200,30,60,15,60,65,55,65,75,80,45,70,40,40
1201,70,30,50,60,30,85,0,0,85,50,50,0,85
1202,100,15,50,70,30,70,15,15,100,70,85,40,85
1203,100,15,15,70,50,100,60,70,100,70,60,70,70
1204,0,85,50,15,85,70,70,70,85,30,85,85,30
1205,90,0,0,70,0,95,0,0,85,90,75,50,50
1206,100,60,50,0,70,100,85,100,85,70,85,60,70
1207,0,85,30,0,70,50,70,85,60,0,50,85,15
1208,100,50,50,100,60,100,40,50,100,85,70,70,85
1209,50,0,30,70,0,60,0,30,40,15,85,15,60
1210,15,60,0,0,60,40,70,70,70,30,50,70,60
1211,50,70,0,15,60,60,70,100,70,50,60,70,50
1212,70,70,40,60,70,85,40,70,85,40,85,60,40
1213,50,100,85,70,100,85,100,100,85,0,100,85,40
1214,100,15,40,100,0,100,0,0,100,85,100,15,85
1215,100,15,15,70,15,50,0,0,50,85,40,15,70
1216,85,0,15,85,15,100,0,0,60,50,50,0,85
1217,60,85,50,60,85,70,100,100,50,50,50,60,85
1218,30,85,60,40,70,50,30,70,85,50,60,50,30
1219,30,70,70,0,70,60,85,85,70,0,70,85,40
1220,0,60,0,0,85,50,85,100,60,0,60,85,15
1221,30,70,15,15,85,60,100,85,60,50,50,85,60
1222,30,70,50,30,85,50,70,7,50,50,5,85,15
1223,15,85,50,50,50,50,60,50,50,55,50,85,15
1224,0,60,40,0,70,50,85,85,70,0,65,60,0
1225,85,30,50,70,30,70,0,0,70,60,40,30,70
1226,60,40,60,50,50,50,70,70,60,40,70,60,60
1227,85,0,40,70,40,85,30,40,85,60,85,0,70
1228,0,85,20,0,85,15,85,100,25,10,0,95,0
1229,85,40,60,60,50,85,70,70,70,60,50,40,85
1230,15,40,70,0,50,40,50,70,40,0,15,60,50
1231,85,50,0,85,50,85,70,70,70,70,70,60,85
1232,15,50,50,30,50,40,70,70,50,50,40,60,40
1233,15,70,85,0,70,0,50,60,100,0,100,60,50
1234,85,15,50,50,0,100,0,0,100,70,60,30,70
1235,15,50,50,40,60,50,70,85,60,50,60,60,50
1236,0,70,50,15,60,50,50,100,60,0,100,60,60
1237,85,60,60,85,40,85,50,30,85,70,50,40,70
1238,100,50,50,70,100,100,100,100,100,70,60,100,100
1239,70,70,50,50,85,100,70,70,85,50,60,85,40
1240,15,60,30,0,85,40,70,70,40,15,70,70,30
1241,40,50,50,40,50,50,50,70,50,30,50,50,50
1242,60,50,50,60,70,85,40,40,70,50,50,50,50
1243,50,60,30,15,70,70,85,85,60,50,70,60,30
1244,50,50,50,90,10,85,10,50,90,50,75,49,51
1245,15,85,60,30,70,100,60,85,100,15,100,70,15
1246,85,50,60,85,50,85,50,40,85,85,70,50,70
1247,70,40,50,30,50,50,15,0,40,50,50,30,70
1248,85,40,50,70,60,100,15,30,100,30,100,40,60
1249,85,100,70,70,85,70,70,70,85,60,70,100,100
1250,40,60,50,30,50,60,0,60,60,50,85,60,40
1251,15,70,85,0,85,15,70,85,30,0,60,70,15
1252,100,40,50,70,60,70,50,15,40,60,40,60,85
1253,100,15,30,60,50,100,0,0,85,100,50,0,70
1254,15,60,30,0,60,60,85,85,85,15,85,60,40
1255,70,50,50,60,50,70,60,40,85,40,50,50,85
1256,40,70,50,40,70,40,70,70,50,40,40,85,40
1257,70,0,15,60,50,70,60,60,85,15,50,50,70
1258,85,15,50,60,50,100,0,60,85,60,70,15,85
1259,100,0,15,100,75,95,99,99,100,80,65,95,85
1260,0,85,60,0,70,40,85,85,60,0,60,85,0
1261,40,60,50,30,85,60,70,85,60,30,70,60,30
1262,60,50,50,60,50,60,40,60,50,50,50,85,15
1263,85,50,50,60,60,70,0,0,60,70,50,60,70
1264,75,25,30,50,10,85,10,20,75,50,85,50,60
1265,0,85,85,0,100,70,15,85,30,50,0,100,0
1266,100,40,50,85,60,100,0,0,85,85,70,40,85
1267,15,70,50,15,70,50,70,85,30,15,50,60,15
1268,0,85,15,0,100,50,60,100,60,0,60,100,40
1269,50,60,50,0,60,50,70,70,30,30,50,60,50
1270,40,70,60,60,50,50,0,30,85,50,50,70,40
1271,85,50,60,100,40,100,70,60,85,50,30,40,85
1272,85,50,40,70,50,100,50,40,70,50,100,50,85
1273,100,30,70,60,40,100,0,0,100,50,70,50,85
1274,60,50,30,40,50,50,50,60,70,40,50,50,50
1275,70,40,40,60,40,70,60,70,85,60,50,70,60
1276,100,15,40,70,50,50,0,0,60,50,70,60,100
1277,85,30,15,70,40,85,0,30,60,70,60,30,60
1278,100,30,30,70,15,100,30,60,60,70,60,15,100
1279,15,70,60,15,70,50,60,60,30,30,40,60,30
1280,70,70,70,70,85,85,70,85,85,70,60,70,70
1281,85,15,15,85,15,85,0,0,100,70,60,0,100
1282,60,85,50,30,70,50,70,85,70,40,40,60,40
1283,60,60,50,60,70,85,50,0,85,50,50,60,60
1284,70,60,70,50,50,60,40,50,70,50,60,60,60
1285,40,85,15,70,50,60,85,60,85,50,50,85,0
1286,70,70,50,70,60,70,70,60,60,50,60,70,70
1287,70,40,40,50,50,50,50,30,50,50,50,40,40
1288,100,0,70,85,15,100,0,15,85,85,85,30,85
1289,40,100,50,15,85,60,100,100,100,60,100,100,50
1290,30,40,30,40,50,60,85,70,70,30,60,40,30
1291,100,60,50,70,60,50,50,30,85,50,85,60,85
1292,85,15,0,85,30,100,0,30,85,60,40,15,60
1293,15,100,50,15,100,0,60,85,50,0,60,85,15
1294,70,40,15,70,50,70,40,70,70,60,70,70,60
1295,0,40,40,15,60,70,30,60,70,0,100,30,30
1296,70,70,60,60,70,60,70,70,70,60,60,60,60
1297,70,60,0,70,85,85,15,30,70,50,70,30,60
1298,85,50,50,70,40,100,40,15,85,60,70,40,70
1299,100,50,70,50,60,85,15,15,70,50,77,60,70
1300,0,70,85,0,70,40,40,85,40,0,70,70,15
1301,100,30,50,60,40,100,0,0,100,50,50,15,85
1302,70,50,60,40,30,60,30,30,70,50,60,40,60
1303,60,30,50,60,30,70,15,60,60,40,50,50,50
1304,15,85,70,0,70,50,85,85,40,0,60,70,30
1305,30,40,0,60,60,50,40,60,70,15,50,40,30
1306,0,85,30,0,85,50,70,70,60,0,70,85,15
1307,60,70,40,40,70,50,50,85,60,50,70,60,50
1308,0,70,0,0,80,40,80,70,50,0,80,85,0
1309,60,40,50,50,50,60,40,40,60,30,40,30,40
1310,50,50,75,25,100,100,75,100,75,50,100,75,25
1311,5,75,0,5,50,5,50,85,5,0,50,85,5
1312,30,85,50,50,85,60,85,85,50,40,30,100,30
1313,85,0,15,50,15,70,85,60,85,50,50,85,70
1314,100,0,50,85,15,100,0,0,70,85,60,15,85
1315,0,60,50,0,50,30,50,60,60,0,70,60,0
1316,30,70,0,15,50,0,40,85,50,30,70,40,40
1317,0,85,60,50,85,60,100,100,100,60,40,70,60
1318,100,0,0,85,0,100,0,0,85,85,70,0,100
1319,0,85,60,0,85,60,100,100,30,0,60,60,0
1320,70,60,30,60,40,70,50,50,60,60,60,40,70
1321,85,60,40,90,50,85,0,15,85,85,60,40,70
1322,100,85,85,85,70,100,85,100,100,85,100,85,85
1323,70,70,40,50,50,60,100,85,100,50,50,100,85
1324,100,60,85,60,60,100,60,40,100,50,100,70,85
1325,60,70,50,60,50,70,85,40,60,50,40,70,60
1326,60,85,50,50,60,85,70,70,70,50,60,85,60
1327,70,15,60,70,30,85,30,15,100,60,60,60,85
1328,90,5,55,45,35,90,10,20,75,50,65,30,65
1329,0,75,0,0,85,75,95,95,75,0,75,75,0
1330,0,60,50,50,50,30,60,50,70,50,50,50,50
1331,0,70,50,15,75,50,30,50,75,50,70,55,30
1332,75,45,50,60,60,100,0,30,100,40,75,50,50
1333,30,4,40,30,60,70,60,60,85,40,85,50,50
1334,50,85,40,30,70,50,100,100,85,50,70,70,50
1335,70,50,60,60,30,85,40,60,85,50,70,60,70
1336,50,70,0,40,70,60,85,85,15,15,60,85,70
1337,60,70,50,50,50,40,85,100,100,50,40,60,60
1338,100,0,85,70,0,100,3,0,85,85,70,15,70
1339,0,70,80,0,80,30,70,90,80,30,80,70,20
1340,85,30,0,40,60,100,15,30,85,40,85,15,60
1341,85,40,50,60,30,0,15,70,70,85,100,100,0
1342,0,100,0,0,100,0,100,100,30,15,30,85,15
1343,100,50,50,100,50,100,0,0,100,100,85,30,85
1344,85,30,40,60,50,85,15,0,100,50,50,40,70
1345,15,80,15,0,80,50,90,85,40,10,75,80,5
1346,100,70,40,85,50,85,0,40,100,85,100,40,85
1347,15,85,30,0,85,30,85,85,30,15,50,85,40
1348,70,70,70,60,70,85,0,85,70,70,70,70,15
1349,100,0,100,85,85,100,60,0,100,50,100,50,50
1350,60,15,50,50,40,85,0,50,85,60,85,40,50
1351,100,0,50,100,0,100,0,0,100,100,50,100,100
1352,15,30,50,40,50,60,85,60,100,60,60,50,50
1353,100,0,50,85,70,100,15,15,85,85,60,50,50
1354,30,60,0,30,60,50,60,100,50,50,50,70,50
1355,85,15,40,70,30,100,0,0,60,60,40,30,85
1356,30,85,0,0,85,50,15,100,50,0,40,60,15
1357,50,70,85,50,50,50,100,100,100,70,70,100,0
1358,40,70,30,30,60,70,85,85,50,30,85,50,50
1359,10,50,0,0,85,15,100,100,100,15,30,85,60
1360,70,40,50,60,85,50,30,70,85,60,85,60,5
1361,15,40,60,15,30,70,0,70,60,0,50,85,30
1362,100,60,50,70,50,100,70,100,85,85,85,60,85
1363,40,85,40,60,100,60,100,100,60,50,70,85,60
1364,70,40,15,50,30,60,60,60,85,40,50,50,70
1365,80,40,0,40,30,50,50,50,40,40,65,40,60
1366,0,70,50,0,50,50,60,85,70,50,50,50,50
1367,40,60,50,40,50,50,50,40,50,50,50,50,50
1368,100,0,50,100,15,100,0,0,85,85,70,15,85
1369,85,15,50,85,15,85,15,15,85,85,85,60,85
1370,85,50,50,40,60,85,85,85,60,60,60,70,70
1371,15,70,85,0,60,30,60,85,40,15,50,60,40
1372,70,85,0,15,85,85,60,85,60,50,50,85,40
1373,0,85,0,15,100,15,100,100,60,50,50,85,0
1374,40,85,50,15,85,60,100,100,40,15,60,100,30
1375,100,30,40,70,50,100,0,40,100,70,70,30,70
1376,30,60,50,30,60,60,60,15,70,30,50,70,40
1377,0,62,55,0,80,50,90,95,59,40,60,57,0
